Compound name,RT [min]
n-Undecane,9.308
n-Dodecane,10.273
5-Methyldodecane,10.667
"2,4-Dimethylundecane",10.687
"2,4,5,6-Tetramethylnonane",10.765
"2,3,6-Trimethyldecane",10.765
"2,4,7-Trimethyldecane",10.785
2-Methyldodecane,10.987
n-Tridecane,10.992
"2,4-Dimethyldodecane",11.021
"2,3,7-Trimethylundecane",11.11
"2,4,5,7-Tetramethyldecane",11.114
"2,4,6,7-Tetramethyldecane",11.129
"2,3-Dimethyldodecane",11.435
3-Methyltridecane,11.469
5-Methyltridecane,11.488
"3,4-Dimethyldodecane",11.489
n-Tetradecane,11.691
"3,4,10-Triimethyldodecane",11.759
"2,11-Dimethyltridecane",11.769
"3,4-Dimethyltridecane",11.769
5-Methyltetradecane,11.804
2-Methyltetradecane,11.809
"2,4,6-Trimethyldodecane",11.809
"2,3-Dimethyltridecane",11.813
"2,3,8-Trimethyldodecane",11.828
3-Methyltetradecane,11.932
"2,4-Dimethyltridecane",12.001
"4,9-Dimethyltridecane",12.069
"2,9-Dimethyltridecane",12.084
"2,4,8,10-Tetramethylundecane",12.114
"2,3,8,10-Tetramethylundecane",12.119
"2,4,6,8,9-Pentamethyldecane",12.252
"2,3,9,10-Tetramethyldodecane",12.271
n-Pentadecane,12.399
"2,13-Dimethyltetradecane",12.532
"2,3,9-Trimethyltridecane",12.542
"4,10-Dimethyltetradecane",12.562
"2,3,9,11-Tetramethyldodecane",12.572
"2,4-Dimethyltetradecane",12.729
4-Methylpentadecane,12.744
Lauric acid,12.758
5-Methylpentadecane,12.768
"3,10-Dimethyltetradecane",12.788
1-Hexadecene,12.832
5-Methylhexadecane,13.138
"3,4-Dimethylpentadecane",13.226
3-Methylhexadecane,13.241
"2,3,10-Trimethyltetradecane",13.31
"2,3,10,12-Tetramethyltridecane",13.344
"4,11-Dimethylpentadecane",13.305
Heptadecadiene,13.379
"3,11-Dimethylpentadecane",13.389
1-Heptadecanol,13.423
Heptadecene,13.433
"2,4-Di-tert-butyl-6-nitrophenol",13.516
"2,4,11-Trimethyltetradecane",13.531
"2,4-Dimethylpentadecane",13.531
n-Heptadecane,13.536
"4,9,11-Trimethylpentadecane",13.556
"2,3,10-Trimethyldodecane",13.566
"2,3,6,9-Tetramethyltridecane",13.576
2-Phenylundecane,13.61
Farnesol,13.694
"4,12-Dimethylhexadecane",13.723
"2,3,11-Trimethylpentadecane",13.782
"4,7,11-Trimethylpentadecane",13.802
cis-11-Tetradecenoic acid,13.807
Myristic acid,13.945
n-Octadecane,14.137
"3,4-Dimethylheptadecane",14.319
5-Methyloctadecane,14.334
n-Pentadecanoic acid,14.461
"4,15-Dimethylheptadecane",14.609
"2,3,12-Trimethylhexadecane",14.614
"4,13-Dimethylheptadecane",14.629
n-Nonadecane,14.654
"4,14-Dimethyloctadecane",14.693
Hexadecalactone,14.895
"2,3,13-Trimethylheptadecane",14.929
Palmitic acid,15.018
n-Eicosane,15.141
3-Methyleicosane,15.362
10-Heptadecenoic acid,15.367
n-Heptadecanoic acid,15.461
5-Methyleicosane,15.549
n-Heneicosane,15.618
"4,16-Dimethyleicosane",15.731
"2,3,15-Trimethylnonadecane",15.736
"2,4-Dimethyleicosane",15.894
"4,17-Dimethylheneicosane",15.919
Vaccenic acid,15.923
Stearic acid,15.982
n-Docosane,16.091
n-Tricosane,16.553
Arachidonic acid,16.662
5-Methyltricosane,16.667
2-Methyltricosane,16.814
n-Tetracosane,16.972
"11,12-Dimethyltricosane",17.08
2-Methyltetracosane,17.223
n-Pentacosane,17.375
11-Methylpentacosane,17.498
"2,4-Dimethyltetracosane",17.553
"3,4-Dimethyltetracosane",17.558
2-Methylpentacosane,17.582
"2,4,19-Trimethyltricosane",17.612
4-Methylpentacosane,17.612
3-Methylpentacosane,17.671
5-Methylpentacosane,17.705
n-Hexacosane,17.745
3-Methylhexacosane,18.064
Pentacosadiene,18.074
2-Methylhexacosane,18.099
n-Heptacosane,18.222
Heptacosadiene,18.439
5α-Cholestane,19.191
Cholesterol,21.072
