Colony,lat,lng
20250803B,35.32366,137.07911
20250803C,35.32405,137.07905
20250803D,35.32366,137.07947
20250803E,35.32344,137.07944
20250901A,35.2522222,137.2145
20250906A,35.1653611,136.98225
20250906B,35.1653611,136.9820278
20250906C,35.1655556,136.9821944
20250906D,35.1525833,136.9737222
20250914A,34.9318611,137.2769444
20250915A,35.37755,135.88219
20250915B,35.30633,135.89422
20250915C,35.2715,135.85775
20250915D,35.27675,135.84916
20250922A,35.13877,136.49572
20250922B,35.13888,136.49516
20250922C,35.13863,136.49408
20250922D,34.99411,136.31355
20251103A,35.06458,135.35855
20251103B,35.00391,135.5613
20251103C,35.00711,135.56483
